unique_id,date,name,category,type,rating,price,average_revenue
135247787272336,2022-01-23,Family Farmhouse,Cottage,Vacation,2.0,77.0,70080.09
135247787272528,2022-02-18,Family Farmhouse,Cottage,Vacation,2.0,64.0,85291.81
135247787274064,2022-01-05,Family Farmhouse,Cottage,Vacation,4.0,95.0,64414.52
135247787274112,2022-03-07,Royal Suite,HotelRoom,Travel,4.0,87.0,81897.16
135247787273248,2022-05-25,Royal Suite,HotelRoom,Travel,1.0,77.0,66443.01
135247787269600,2022-08-03,Family Farmhouse,Cottage,Vacation,2.0,79.0,82062.92
135247787273728,2022-06-26,Royal Suite,HotelRoom,Travel,2.0,87.0,70464.29
135247787269888,2022-05-06,Family Farmhouse,Cottage,Vacation,3.0,84.0,78592.38
135247787271664,2022-01-03,Executive Suite,HotelRoom,Travel,1.0,88.0,78405.76
135247787274160,2022-05-05,Family Farmhouse,Cottage,Vacation,2.0,75.0,74612.49
135247787270944,2022-04-27,Family Farmhouse,Cottage,Vacation,3.0,77.0,84277.56
135247787271856,2022-04-08,Executive Suite,HotelRoom,Travel,1.0,84.0,66049.39
135247787273296,2022-09-02,Executive Suite,HotelRoom,Travel,2.0,84.0,83432.61
135246884576016,2022-02-07,Family Farmhouse,Cottage,Vacation,1.0,79.0,79826.59
135246884575392,2022-09-30,Family Farmhouse,Cottage,Vacation,3.0,79.0,79826.59
135246884583552,2022-01-06,Royal Suite,HotelRoom,Travel,4.0,80.0,83250.45
135246884583504,2022-01-10,Family Farmhouse,Cottage,Vacation,3.0,93.0,89075.83
135246884571168,2022-03-30,Family Farmhouse,Cottage,Vacation,2.0,89.0,85381.85
135246884581968,2022-02-19,Urban Retreat,Cottage,Vacation,3.0,74.0,83202.13
135246884581680,2022-07-10,Family Farmhouse,Cottage,Vacation,2.0,81.0,85090.24
135246884570304,2022-01-24,Royal Suite,HotelRoom,Travel,2.0,77.0,91811.24
135246884581632,2022-02-20,Royal Suite,HotelRoom,Travel,2.0,76.0,84460.79
135246884584752,2022-10-03,Family Farmhouse,Cottage,Vacation,2.0,75.0,71017.49
135246884569440,2022-01-25,Royal Suite,HotelRoom,Travel,2.0,88.0,62270.67
135246884578320,2022-07-09,Family Farmhouse,Cottage,Vacation,1.0,76.0,74597.16
135246884569584,2022-01-07,Urban Retreat,Cottage,Vacation,1.0,75.0,79998.14
135246884577936,2022-04-16,Royal Suite,HotelRoom,Travel,3.0,97.0,68423.0
135246884572992,2022-04-20,Seaside Cottage,BeachHouse,Vacation,3.0,91.0,94294.37
135246884584032,2022-04-01,Royal Suite,HotelRoom,Travel,4.0,64.0,79676.02
135246884573712,2022-03-25,Royal Suite,HotelRoom,Travel,2.0,85.0,72589.4
135246884579088,2022-02-22,Royal Suite,HotelRoom,Travel,1.0,67.0,87216.49
135246884579952,2022-01-05,Royal Suite,HotelRoom,Travel,2.0,93.0,93961.75
135246884577504,2022-09-01,Cozy Cottage,Cottage,Vacation,3.0,82.0,86176.24
135246884576160,2022-08-17,Royal Suite,HotelRoom,Travel,3.0,72.0,72833.02
135246884573232,2022-01-18,Executive Suite,HotelRoom,Travel,1.0,88.0,69192.53
135246884569776,2022-01-05,Royal Suite,HotelRoom,Travel,2.0,79.0,79826.59
135246884582112,2022-01-21,Royal Suite,HotelRoom,Travel,1.0,82.0,65692.55
135246884571120,2022-04-27,Royal Suite,HotelRoom,Travel,2.0,72.0,67777.24
135246884569488,2022-01-22,Family Farmhouse,Cottage,Vacation,2.0,95.0,75734.37
135246884576496,2022-01-29,Seaside Cottage,BeachHouse,Vacation,2.0,97.0,60120.53
135246884569632,2022-02-05,Urban Retreat,Cottage,Vacation,3.0,73.0,92687.32
135246884577744,2022-03-12,Royal Suite,HotelRoom,Travel,4.0,84.0,70266.16
135246884578416,2022-01-25,Royal Suite,HotelRoom,Travel,1.0,80.0,65296.07
135246884570016,2022-07-08,Royal Suite,HotelRoom,Travel,2.0,78.0,71383.2
135246884577216,2022-04-28,Royal Suite,HotelRoom,Travel,1.0,76.0,78888.57
135246884569968,2022-05-14,Executive Suite,HotelRoom,Travel,2.0,81.0,83148.18
135246884581488,2022-07-18,Royal Suite,HotelRoom,Travel,2.0,79.0,79826.59
135246884577120,2022-04-10,Executive Suite,HotelRoom,Travel,3.0,79.0,79826.59
135246884577360,2022-03-11,Family Farmhouse,Cottage,Vacation,1.0,86.0,81738.11
135246884582256,2022-01-16,Royal Suite,HotelRoom,Travel,3.0,84.0,84513.37
135246884579904,2022-03-29,Royal Suite,HotelRoom,Travel,1.0,71.0,67168.46
135246884575728,2022-01-03,Royal Suite,HotelRoom,Travel,1.0,92.0,66948.94
135246884569536,2022-06-11,Royal Suite,HotelRoom,Travel,2.0,86.0,73419.92
135246884577840,2022-05-15,Royal Suite,HotelRoom,Travel,1.0,66.0,71812.52
135246884578224,2022-07-29,Urban Retreat,Cottage,Vacation,4.0,79.0,79826.59
135246884576736,2022-01-05,Family Farmhouse,Cottage,Vacation,1.0,71.0,87594.33
135246884577168,2022-03-11,Urban Retreat,Cottage,Vacation,1.0,81.0,73642.0
